177,loleps mia arsen,2004-01-01,putin,,slehka
78,jojo vova emma,2005-01-01,putin,,konechno ze
79,poroshenko anton katya,2007-01-01,net,,net
80,zelenskiy arsen nick,2005-01-01,commander,,vosmozno
81,hutsan danya jo,2005-01-01,hrin yoho zna,,ganba
82,jojo lena anton,2006-01-01,radovoy,,kak vsegda
83,zelenskiy jo joster,2007-01-01,commander,,ne znayu
84,jojo nick mia,2000-01-01,huilo,,ganba
85,putin anton vova,2003-01-01,commander,,ganba
86,grishenko jonodan katya,2005-01-01,net,,zrada
87,hutsan emma danya,2001-01-01,putin,,zlo
88,zelenskiy vladimir artem,2004-01-01,da,,net
89,hutsan jonodan danya,2000-01-01,denchik,,ganba
90,putin danya bohdan,2000-01-01,admin,,ganba
91,hutsan anton sveta,2006-01-01,hrin yoho zna,,slehka
92,hutsan emma bohdan,2004-01-01,pidor,,ne znayu
93,grishenko arsen vladimir,2007-01-01,net,,ne znayu
94,grishenko sveta danya,2001-01-01,admiral,,zlo
95,jojo emma danya,2006-01-01,admiral,,zrada
96,lenyaua bohdan jonodan,2004-01-01,admiral,,vosmozno
97,jojo arsen lena,2001-01-01,admin,,da
98,lenyaua arsen bodya,2007-01-01,huilo,,zlo
99,putin vladimir nick,2002-01-01,hrin yoho zna,,konechno ze
100,poroshenko katya bodya,2007-01-01,denchik,,kak vsegda
101,loleps vova arsen,2006-01-01,admin,,vosmozno
102,putin katya bodya,2006-01-01,commander,,konechno ze
103,putin katya mia,2007-01-01,putin,,net
104,lenyaua emma vladimir,2006-01-01,admin,,konechno ze
105,zelenskiy lena arsen,2002-01-01,commander,,net
106,loleps lena lena,2000-01-01,putin,,ganba
107,hutsan nick anton,2001-01-01,denchik,,konechno ze
108,hutsan bohdan danya,2004-01-01,admin,,kak vsegda
109,lenyaua danya mia,2007-01-01,general,,zlo
110,borisov artem emma,2006-01-01,radovoy,,kak vsegda
111,grishenko vladimir arsen,2003-01-01,net,,da
112,hutsan bohdan bodya,2002-01-01,denchik,,ganba
113,jojo bodya emma,2004-01-01,net,,ganba
114,poroshenko jonodan arsen,2006-01-01,putin,,ne znayu
115,jojo vova danya,2000-01-01,huilo,,slehka
116,zelenskiy artem emma,2006-01-01,denchik,,zrada
117,lenyaua bodya anton,2005-01-01,admin,,ne znayu
118,grishenko anton jonodan,2005-01-01,huilo,,konechno ze
119,lenyaua vova daniil,2007-01-01,denchik,,net
120,jojo mia vladimir,2001-01-01,putin,,ganba
121,putin denys vova,2006-01-01,huilo,,kak vsegda
122,loleps katya vova,2003-01-01,da,,net
123,hutsan daniil lena,2000-01-01,admiral,,slehka
124,lenyaua bodya jo,2000-01-01,huilo,,ne znayu
125,borisov denys joster,2005-01-01,pidor,,konechno ze
126,hutsan danya vova,2003-01-01,pidor,,kak vsegda
127,loleps joster vova,2005-01-01,denchik,,vosmozno
128,hutsan loleps sveta,2004-01-01,denchik,,da
129,hutsan arsen daniil,2007-01-01,putin,,ne znayu
130,lenyaua joster vova,2000-01-01,hrin yoho zna,,zlo
131,poroshenko danya loleps,2001-01-01,denchik,,da
132,lenyaua jo nick,2003-01-01,general,,vosmozno
133,loleps artem bohdan,2006-01-01,admiral,,kak vsegda
134,hutsan vova artem,2005-01-01,pidor,,zrada
135,borisov bodya vladimir,2003-01-01,commander,,vosmozno
136,jojo jonodan vladimir,2005-01-01,huilo,,ganba
137,loleps loleps jonodan,2002-01-01,putin,,ne znayu
138,zelenskiy nick katya,2007-01-01,putin,,net
139,hutsan vova bodya,2005-01-01,putin,,slehka
140,loleps arsen vova,2004-01-01,admiral,,zrada
141,grishenko daniil arsen,2004-01-01,admin,,net
142,lenyaua bodya danya,2005-01-01,net,,ganba
143,hutsan bodya lena,2006-01-01,admin,,zrada
144,putin mia danya,2006-01-01,putin,,zlo
145,putin daniil artem,2002-01-01,huilo,,kak vsegda
146,loleps jonodan bodya,2000-01-01,general,,zrada
147,zelenskiy jo nick,2005-01-01,da,,zlo
148,grishenko lena jonodan,2002-01-01,general,,kak vsegda
149,putin vova katya,2007-01-01,putin,,konechno ze
150,loleps daniil sveta,2001-01-01,pidor,,ganba
151,zelenskiy arsen emma,2001-01-01,huilo,,kak vsegda
152,hutsan sveta daniil,2005-01-01,denchik,,da
153,loleps jo mia,2004-01-01,general,,vosmozno
154,poroshenko nick vladimir,2001-01-01,radovoy,,ne znayu
155,lenyaua nick nick,2000-01-01,commander,,vosmozno
156,grishenko joster anton,2004-01-01,pidor,,zlo
157,zelenskiy katya denys,2003-01-01,putin,,ganba
158,borisov denys vladimir,2000-01-01,huilo,,net
159,hutsan daniil vova,2004-01-01,denchik,,konechno ze
160,borisov anton mia,2006-01-01,general,,zrada
161,jojo jonodan joster,2007-01-01,general,,kak vsegda
162,poroshenko denys anton,2004-01-01,commander,,ganba
163,putin jo danya,2004-01-01,general,,zlo
164,loleps nick vova,2004-01-01,da,,ganba
165,putin mia loleps,2004-01-01,huilo,,net
166,zelenskiy daniil arsen,2001-01-01,denchik,,ne znayu
167,lenyaua denys nick,2005-01-01,da,,da
168,borisov artem sveta,2005-01-01,radovoy,,kak vsegda
169,putin anton mia,2001-01-01,huilo,,konechno ze
170,jojo joster jonodan,2001-01-01,denchik,,da
171,hutsan katya joster,2005-01-01,denchik,,kak vsegda
172,hutsan bohdan artem,2007-01-01,da,,zrada
173,poroshenko jo sveta,2004-01-01,radovoy,,zlo
174,grishenko nick katya,2001-01-01,admin,,konechno ze
175,hutsan sveta loleps,2004-01-01,pidor,,net
176,lenyaua nick joster,2002-01-01,da,,ganba
